audio_file|text
E:\something_new\audio\aswini_clips\aswini_0053.wav|monitors I think we buy only Dell monitors
E:\something_new\audio\aswini_clips\aswini_0054.wav|Okay. Just Dell laptops and desktops. We buy only Dell monitors. Okay. In case there's any requirement for any displays and other things.
E:\something_new\audio\aswini_clips\aswini_0055.wav|What was 2000 supporting is we have some uh
E:\something_new\audio\aswini_clips\aswini_0056.wav|displays are there, professional displays are there.
E:\something_new\audio\aswini_clips\aswini_0057.wav|and Office 2000 is supporting us.
E:\something_new\audio\aswini_clips\aswini_0058.wav|No, because she has already spoken to the Samsung OEM team and
E:\something_new\audio\aswini_clips\aswini_0059.wav|And she has already discussed and she has shared I think what was the requirement at that point of time.
E:\something_new\audio\aswini_clips\aswini_0060.wav|happens like that only.
E:\something_new\audio\aswini_clips\aswini_0061.wav|2812 8500. 8500 okay.
E:\something_new\audio\aswini_clips\aswini_0062.wav|Hello, sir. Good afternoon, sir. Mohamed Sara.
E:\something_new\audio\aswini_clips\aswini_0063.wav|Alright, let's split this. Desktop, monitors, laptops. Desktop, monitors, laptops.
E:\something_new\audio\aswini_clips\aswini_0065.wav|All consumer electronics.
E:\something_new\audio\aswini_clips\aswini_0066.wav|in Tamil
E:\something_new\audio\aswini_clips\aswini_0067.wav|Okay, sir. Like, directly, can a person come and meet you, sir? Like, if required. I can come tomorrow.
E:\something_new\audio\aswini_clips\aswini_0068.wav|Okay, so you are in the Paris corner?
E:\something_new\audio\aswini_clips\aswini_0069.wav|Tabii, steel celebrate
E:\something_new\audio\aswini_clips\aswini_0070.wav|Hello, good evening. This is Amarnath, sir.
E:\something_new\audio\aswini_clips\aswini_0071.wav|Sir, this is Ashwini calling from Excess Electronics.
E:\something_new\audio\aswini_clips\aswini_0072.wav|regional distributors of Samsung.
E:\something_new\audio\aswini_clips\aswini_0073.wav|So is this the right time to speak with you, sir?
E:\something_new\audio\aswini_clips\aswini_0074.wav|This is regarding the HVAC solutions.
E:\something_new\audio\aswini_clips\aswini_0075.wav|VRF and commercial displays and signage boards.
E:\something_new\audio\aswini_clips\aswini_0076.wav|and all consumer products and IT.
E:\something_new\audio\aswini_clips\aswini_0077.wav|Peripherals, we are doing everything. I don't need any of this.
E:\something_new\audio\aswini_clips\aswini_0078.wav|Yeah sure sir, any Samsung requirements please do call us. No, no.
E:\something_new\audio\aswini_clips\aswini_0079.wav|Okay, sir. Sir, number is on the card, sir, I will go.
E:\something_new\audio\aswini_clips\aswini_0080.wav|4 double 0. 4 double 0, okay. 5 double 8 double 2.
E:\something_new\audio\aswini_clips\aswini_0081.wav|OK, so thank you so thank you so much.
E:\something_new\audio\aswini_clips\aswini_0082.wav|Hello, very good morning sir. Hello, very good morning sir. Mr. Sadasivam sir.
E:\something_new\audio\aswini_clips\aswini_0083.wav|It's on the... You can send me the...
E:\something_new\audio\aswini_clips\aswini_0084.wav|next week certain like and I know the dates are so that any Tuesday or Wednesday
E:\something_new\audio\aswini_clips\aswini_0085.wav|Sir, very good evening. Sir, is this Saafic?
E:\something_new\audio\aswini_clips\aswini_0086.wav|Sir, very good afternoon. Is this Mr. Shankar sir?
E:\something_new\audio\aswini_clips\aswini_0087.wav|So is there any requirement now or in the future?
E:\something_new\audio\aswini_clips\aswini_0088.wav|Yeah sure sir, this is your WhatsApp number I'm right.
E:\something_new\audio\aswini_clips\aswini_0089.wav|I will just send up the brief about what we do, all the products. So whenever there is a requirement, please do contact us.
E:\something_new\audio\aswini_clips\aswini_0090.wav|Hello. Hello. Good evening, sir. I'm Mr. Sridharan, sir.
E:\something_new\audio\aswini_clips\aswini_0091.wav|So that is why I said so further requirements please contact. Definitely. Thank you.
E:\something_new\audio\aswini_clips\aswini_0092.wav|This one, oh okay. Sorry, chair, this one. Happy retirement, sir. Thank you.
E:\something_new\audio\aswini_clips\aswini_0093.wav|I am just sending you the profile what we do.
E:\something_new\audio\aswini_clips\aswini_0094.wav|Next week sir. Yeah any two days sir, and please stay in the date
E:\something_new\audio\aswini_clips\aswini_0095.wav|Cut your name and reason for calling. I'll see if this person is available.
E:\something_new\audio\aswini_clips\aswini_0096.wav|Thanks Ashwini. Please stay on the line.
E:\something_new\audio\aswini_clips\aswini_0097.wav|If you would like to leave an additional message, please reply after the tone.
